ndvi,ndre,gndvi,moisture,temperature,nitrogen,phosphorus,potassium,stress_label
0.72,0.48,0.61,70,25,82,74,80,Healthy
0.51,0.31,0.44,52,31,60,55,58,Moderate
0.29,0.14,0.21,30,39,28,22,25,HighStress
0.70,0.45,0.60,72,24,80,76,82,Healthy
0.74,0.50,0.63,75,23,85,79,84,Healthy
0.76,0.52,0.65,78,22,88,82,86,Healthy
0.69,0.43,0.58,70,25,79,74,81,Healthy
0.73,0.49,0.62,74,24,84,78,83,Healthy
0.71,0.46,0.61,73,25,81,75,80,Healthy
0.77,0.53,0.66,79,21,90,84,88,Healthy
0.75,0.51,0.64,76,22,87,81,85,Healthy
0.68,0.42,0.57,69,26,77,73,79,Healthy
0.72,0.47,0.61,74,24,83,77,82,Healthy
0.78,0.55,0.67,80,20,92,86,90,Healthy
0.73,0.48,0.62,75,23,84,78,84,Healthy
0.71,0.45,0.60,72,24,80,75,81,Healthy
0.74,0.50,0.64,77,22,86,80,85,Healthy
0.76,0.54,0.66,79,21,89,83,88,Healthy
0.70,0.44,0.59,71,25,78,74,80,Healthy
0.72,0.49,0.62,75,23,85,79,84,Healthy
0.75,0.52,0.65,78,22,88,82,87,Healthy
0.69,0.43,0.58,70,26,79,73,80,Healthy
0.52,0.30,0.42,50,32,58,54,60,Moderate
0.48,0.28,0.39,48,33,55,50,57,Moderate
0.50,0.29,0.41,49,31,57,53,59,Moderate
0.54,0.32,0.44,53,30,60,56,62,Moderate
0.46,0.27,0.38,47,34,53,49,55,Moderate
0.51,0.31,0.43,51,32,59,55,61,Moderate
0.49,0.28,0.40,48,33,56,51,58,Moderate
0.53,0.33,0.45,54,30,61,57,63,Moderate
0.47,0.26,0.37,46,35,52,48,54,Moderate
0.50,0.30,0.41,50,32,58,53,60,Moderate
0.55,0.34,0.46,55,29,63,58,64,Moderate
0.48,0.27,0.39,47,34,54,50,56,Moderate
0.52,0.31,0.43,52,31,59,55,61,Moderate
0.49,0.29,0.40,49,33,57,52,58,Moderate
0.53,0.32,0.44,53,30,60,56,62,Moderate
0.46,0.26,0.37,45,35,51,47,53,Moderate
0.50,0.30,0.42,50,32,58,54,60,Moderate
0.54,0.33,0.45,54,30,62,57,63,Moderate
0.47,0.27,0.38,46,34,53,49,55,Moderate
0.25,0.12,0.20,28,40,24,20,22,HighStress
0.31,0.16,0.24,35,37,30,25,28,HighStress
0.27,0.13,0.21,30,39,26,21,24,HighStress
0.29,0.15,0.22,32,38,28,23,26,HighStress
0.24,0.11,0.19,27,41,22,18,20,HighStress
0.30,0.16,0.23,34,37,29,24,27,HighStress
0.26,0.12,0.20,29,40,25,20,23,HighStress
0.28,0.14,0.22,31,39,27,22,25,HighStress
0.23,0.10,0.18,26,42,21,17,19,HighStress
0.32,0.17,0.25,36,36,31,26,29,HighStress
0.27,0.13,0.21,30,39,26,21,24,HighStress
0.29,0.15,0.22,33,38,28,23,26,HighStress
0.24,0.11,0.19,27,41,22,18,20,HighStress
0.31,0.16,0.24,35,37,30,25,28,HighStress
0.26,0.12,0.20,29,40,25,20,23,HighStress
0.28,0.14,0.22,32,39,27,22,25,HighStress
0.23,0.10,0.18,26,42,21,17,19,HighStress
0.30,0.15,0.23,34,38,29,24,27,HighStress
0.25,0.11,0.19,28,41,23,19,21,HighStress
